Dataset,Method,Reward Mean,Reward SD,Target Selection Rate Mean,Target Selection Rate SD,Non-Greedy Selection Rate Mean,Non-Greedy Selection Rate SD
Amazon,Random,0.790974894518574,0.0074099942962474,0.009968,0.0001874033084019,0.990236,0.000292112991837
Amazon,Transformer-Greedy,0.9104101506734986,0.0023231570667926,0.031988,0.0012934720715964,0.0,0.0
Amazon,Epsilon-Greedy,0.9062897360905492,0.0017792055277755,0.0297259999999999,0.001276197476882,0.09896,0.0009733704330829
Amazon,Predictive UCB,0.901951497435628,0.0075893708771583,0.0141719999999999,0.0003059738550922,0.238208,0.0070196559744762
Amazon,Hybrid Thompson Sampling,0.8705530737234323,0.0071049087505348,0.018344,0.0004421312022465,0.930258,0.0006911367447907
Amazon,Adaptive-MAB,0.9090358866583812,0.0020199682795279,0.039902,0.0004166773331968,0.190042,0.006318256879868
KuaiRand,Random,0.0797512665732399,0.0035480389059257,0.0103719992669965,0.000679265273698,0.9901777533443284,0.0006782758117398
KuaiRand,Transformer-Greedy,0.1841051206043651,0.0094440496667238,0.0093677844969763,0.0008323705589888,0.0,0.0
KuaiRand,Epsilon-Greedy,0.1749973939119421,0.0026746226717089,0.009309144218435,0.0008154148968769,0.0999743448781381,0.0020314249599571
KuaiRand,Predictive UCB,0.177627566170352,0.0134852949879142,0.0064284405350925,0.0006174221950885,0.4671357888949973,0.0378278038923364
KuaiRand,Hybrid Thompson Sampling,0.1213201152017881,0.0085195983883368,0.0094117647058823,0.0002710626657445,0.9126479750778816,0.0028454794858645
KuaiRand,Adaptive-MAB,0.1804046755583586,0.0151740863928968,0.0090745831042697,0.0008032159707802,0.0974454828660436,0.0074802906550879
