Dataset,Experiment,Method,Baseline,Metric,N Seeds,Difference,95% CI Low,95% CI High,Unit,Paired t,Paired t p,Wilcoxon W,Wilcoxon p,Cohen dz
Amazon,Main MAB,Adaptive-MAB,Greedy,Mean Observed Reward,5,-0.0013742640151175,-0.0032034509038814,0.0004549228736463,reward,-2.085936992802793,0.1053133244834003,2.0,0.1875,-0.9328593825377068
Amazon,Main MAB,Adaptive-MAB,Greedy,Target Selection Rate,5,0.7913999999999999,0.62137679466611,0.96142320533388,pp,12.923404496101616,0.0002067777330177,0.0,0.0625,5.779522190801925
Amazon,Main MAB,Adaptive-MAB,Greedy,Non-Greedy Selection Rate,5,19.004199999999997,18.21968479008646,19.78871520991354,pp,67.2569727156913,2.927940201527492e-07,0.0,0.0625,30.07823259062688
Amazon,Mechanism Ablation,Adaptive-MAB,Fixed-Beta MAB,Mean Observed Reward,5,0.0004048252614776,-0.0007996510432382,0.0016093015661935,reward,0.9331649873802368,0.4035617110907546,5.0,0.625,0.4173240692009886
Amazon,Mechanism Ablation,Adaptive-MAB,Fixed-Beta MAB,Target Selection Rate,5,0.045399999999999996,-0.01926554631822,0.11006554631821999,pp,1.949269973776781,0.1230602597672773,1.0,0.125,0.871740033572823
Amazon,Mechanism Ablation,Adaptive-MAB,Fixed-Beta MAB,Non-Greedy Selection Rate,5,-2.67859999999999,-2.9558438580566,-2.40135614194339,pp,-26.824709160064845,1.148148771375815e-05,0.0,0.0625,-11.996374631713255
Amazon,Uncertainty Ablation,Adaptive-MAB,Adaptive-MAB w/o Uncertainty,Mean Observed Reward,5,0.0007090204919466,-0.0009901988665411,0.0024082398504343,reward,1.158506383838532,0.3111123793547822,4.0,0.4375,0.5180998053260841
Amazon,Uncertainty Ablation,Adaptive-MAB,Adaptive-MAB w/o Uncertainty,Target Selection Rate,5,-0.07780000000000001,-0.11957050702989999,-0.036029492970090005,pp,-5.17129057183175,0.0066460644986412,0.0,0.0625,-2.3126714500039105
Amazon,Uncertainty Ablation,Adaptive-MAB,Adaptive-MAB w/o Uncertainty,Non-Greedy Selection Rate,5,3.15599999999999,3.05371898799563,3.2582810120043595,pp,85.67045417609488,1.1128396495894565e-07,0.0,0.0625,38.312991840205775
KuaiRand,Main MAB,Adaptive-MAB,Greedy,Mean Observed Reward,5,-0.0037004450460065,-0.014704603498653,0.00730371340664,reward,-0.933654543348314,0.4033373685157467,4.0,0.4375,-0.4175430052856707
KuaiRand,Main MAB,Adaptive-MAB,Greedy,Target Selection Rate,5,-0.029320139270659996,-0.037202217814979996,-0.02143806072634,pp,-10.32795558988647,0.0004959369774108,0.0,0.0625,-4.618802153517018
KuaiRand,Main MAB,Adaptive-MAB,Greedy,Non-Greedy Selection Rate,5,9.74454828660436,8.81574752635208,10.67334904685663,pp,29.129178776035477,8.26863371954568e-06,0.0,0.0625,13.026964774391889
KuaiRand,Mechanism Ablation,Adaptive-MAB,Fixed-Beta MAB,Mean Observed Reward,5,0.0012593340522586,-0.0001329492973661,0.0026516174018833,reward,2.51132204241671,0.0659642526171165,1.0,0.125,1.1230973600474743
KuaiRand,Mechanism Ablation,Adaptive-MAB,Fixed-Beta MAB,Target Selection Rate,5,-0.01319406267179,-0.02548943150055,-0.0008986938430395673,pp,-2.9793811989685253,0.0407638268857103,0.0,0.125,-1.3324197783556897
KuaiRand,Mechanism Ablation,Adaptive-MAB,Fixed-Beta MAB,Non-Greedy Selection Rate,5,-1.0907091808686,-1.58964745063735,-0.59177091109986,pp,-6.069476626478311,0.0037219655425545,0.0,0.0625,-2.7143524649303203
KuaiRand,Uncertainty Ablation,Adaptive-MAB,Adaptive-MAB w/o Uncertainty,Mean Observed Reward,5,-0.0001282778719271,-0.002953775797489,0.0026972200536346,reward,-0.1260508692628454,0.905773485845295,7.0,1.0,-0.0563716624589322
KuaiRand,Uncertainty Ablation,Adaptive-MAB,Adaptive-MAB w/o Uncertainty,Target Selection Rate,5,-0.0073300348176653235,-0.0243572705544,0.009697200919077928,pp,-1.1952286093343798,0.2980148117312152,5.0,0.625,-0.5345224838248425
KuaiRand,Uncertainty Ablation,Adaptive-MAB,Adaptive-MAB w/o Uncertainty,Non-Greedy Selection Rate,5,0.85101704233095,0.53286669496796,1.16916738969393,pp,7.426684022833787,0.001754770271912,0.0,0.0625,3.3213140644935897
